python file name,solver name,avg energy - base,# of loops,avg resid norm,seconds in single loop,avg energy in loop,"time in fx, profiler"
scipy_sparse_linalg_bicgstab February192024.txt,scipy bicgstab,139.7491803278688,3718,2.191284665818186e-06,0.9682625067240452,0.037587192126914686,0
scipy_sparse_linalg_bicg February192024.txt,scipy bicg,139.70983606557374,2756,2.526306649103941e-06,1.3062409288824384,0.05069297389897451,0
sparse_linalg_cg February192024.txt,scipy cg,139.3934426229509,4963,2.526306649103941e-06,0.7253677211364095,0.02808652883799131,0
sparse_linalg_factorized February192024.txt,scipy factorized,44.76885245901637,100840,2.1415499654555016e-13,0.03570011900039667,0.00044395926674946817,0
scipy_sparse_linalg_gcrotmk February192024.txt,scipy gcrotmk,139.0754098360655,6004,2.6672018096773e-06,0.5996002664890073,0.023163792444381326,0
scipy_sparse_linalg_gmres February192024.txt,scipy gmres,141.77377049180333,229,2.6897514993520718e-06,15.720524017467248,0.6190994344620233,0
scipy_sparse_linalg_lgmres February192024.txt,scipy lgmres,139.08196721311478,5320,2.6785466310223474e-06,0.6766917293233082,0.026143226919758417,0
scipy_sparse_linalg_minres February192024.txt,scipy minres,138.51475409836064,7870,4.726259795985913e-06,0.45743329097839897,0.017600349948965775,0
scipy_sparse_linalg_qmr February192024.txt,scipy qmr,139.68032786885246,2679,2.6645214831755007e-06,1.343784994400896,0.05213898016754478,0
sparse_linalg_spsolve February202024.txt,scipy spsolve,44.69999999999999,97750,2.1415499654555016e-13,0.03682864450127877,0.00045728900255754466,0
