python file name,solver name,start time,end time,avg energy,avg energy - base,# of loops,avg resid norm,seconds in single loop,avg energy in loop
scipy_sparse_linalg_bicg February192024.txt,scipy bicg, 2024-02-19 12:35:32.252253, 2024-02-19 13:35:32.426948,222.10983606557375,139.70983606557374,2756,2.526306649103941e-06,1.3062409288824384,0.05069297389897451
scipy_sparse_linalg_bicgstab February192024.txt,scipy bicgstab, 2024-02-19 11:00:08.957678, 2024-02-19 12:00:09.905213,222.1491803278688,139.7491803278688,3718,2.191284665818186e-06,0.9682625067240452,0.037587192126914686
scipy_sparse_linalg_gcrotmk February192024.txt,scipy gcrotmk, 2024-02-19 16:37:33.456599, 2024-02-19 17:37:33.947656,221.4754098360655,139.0754098360655,6004,2.6672018096773e-06,0.5996002664890073,0.023163792444381326
scipy_sparse_linalg_gmres February192024.txt,scipy gmres, 2024-02-19 17:45:09.205917, 2024-02-19 18:45:15.904282,224.17377049180334,141.77377049180333,229,2.6897514993520718e-06,15.720524017467248,0.6190994344620233
scipy_sparse_linalg_lgmres February192024.txt,scipy lgmres, 2024-02-19 19:13:55.676442, 2024-02-19 20:13:55.867066,221.48196721311479,139.08196721311478,5320,2.6785466310223474e-06,0.6766917293233082,0.026143226919758417
scipy_sparse_linalg_minres February192024.txt,scipy minres, 2024-02-19 21:58:28.782010, 2024-02-19 22:58:29.005487,220.91475409836065,138.51475409836064,7870,4.726259795985913e-06,0.45743329097839897,0.017600349948965775
scipy_sparse_linalg_qmr February192024.txt,scipy qmr, 2024-02-19 23:28:28.961856, 2024-02-20 00:28:29.308497,222.08032786885246,139.68032786885246,2679,2.6645214831755007e-06,1.343784994400896,0.05213898016754478
sparse_linalg_cg February192024.txt,scipy cg, 2024-02-19 14:18:30.129360, 2024-02-19 15:18:30.420268,221.7934426229509,139.3934426229509,4963,2.526306649103941e-06,0.7253677211364095,0.02808652883799131
sparse_linalg_factorized February192024.txt,scipy factorized, 2024-02-19 15:28:44.987796, 2024-02-19 16:28:45.009412,127.16885245901638,44.76885245901637,100840,2.1415499654555016e-13,0.03570011900039667,0.00044395926674946817
sparse_linalg_spsolve February202024.txt,scipy spsolve, 2024-02-20 09:20:55.450524, 2024-02-20 10:20:55.455585,127.1,44.69999999999999,97750,2.1415499654555016e-13,0.03682864450127877,0.00045728900255754466
