python file name,solver name,start time,end time,avg energy,avg energy - base,# of loops,avg resid norm,seconds in single loop,avg energy in loop
cvxopt_umfpack_linsolve February132024.txt,cvxopt linsolve, 2024-02-13 20:10:06.585931, 2024-02-13 21:10:06.627050,127.74918032786883,45.34918032786882,86805,2761.692590005418,0.041472265422498704,0.0005224259009028146
cvxpy_osqp February132024.txt,cvxpy OSQP, 2024-02-13 21:32:21.733778, 2024-02-13 22:32:21.743348,220.6688524590164,138.2688524590164,128339,53.79535507629337,0.02805070944919315,0.001077372057278118
scipy_sparse_linalg_bicg February142024.txt,scipy bicg, 2024-02-14 00:54:29.988059, 2024-02-14 01:54:30.457809,222.89672131147543,140.49672131147543,3897,0.00026292377069855085,0.9237875288683602,0.03605253305400961
scipy_sparse_linalg_bicgstab February132024.txt,scipy bicgstab, 2024-02-13 23:11:34.005519, 2024-02-14 00:11:34.483545,222.81311475409834,140.41311475409833,4239,9.586702722381365e-05,0.8492569002123143,0.03312411294033931
scipy_sparse_linalg_cgs February142024.txt,scipy cgs, 2024-02-14 06:12:49.540755, 2024-02-14 07:14:04.294170,222.72063492063486,140.32063492063486,21,9.936937115004176e+47,171.42857142857142,6.681934996220708
scipy_sparse_linalg_gcrotmk February142024.txt,scipy gcrotmk, 2024-02-14 05:01:35.187113, 2024-02-14 06:01:35.303722,222.89180327868854,140.49180327868854,8246,0.00026518550617055716,0.43657530924084403,0.017037570128388132
scipy_sparse_linalg_gmres February142024.txt,scipy gmres, 2024-02-14 14:38:22.824584, 2024-02-14 15:38:22.887071,223.62295081967218,141.22295081967218,869,0.00026891033066218673,4.142692750287687,0.1625120262596918
scipy_sparse_linalg_lgmres February142024.txt,scipy lgmres, 2024-02-14 16:17:45.908742, 2024-02-14 17:17:46.317260,222.20000000000002,139.8,8850,0.0001745836987890909,0.4067796610169492,0.015796610169491528
scipy_sparse_linalg_minres February142024.txt,scipy minres, 2024-02-14 18:49:38.667495, 2024-02-14 19:49:38.733693,220.81967213114754,138.41967213114754,53936,0.14890110866563264,0.06674577276772471,0.002566368884069036
scipy_sparse_linalg_qmr February152024.txt,scipy qmr, 2024-02-15 13:33:08.426159, 2024-02-15 14:33:09.313110,223.9360655737705,141.5360655737705,3590,0.000259516181376549,1.0027855153203342,0.03942508790355724
scipy_sparse_linalg_tfqmr February152024.txt,scipy tfqmr, 2024-02-15 17:12:40.838893, 2024-02-15 18:12:43.907586,221.65245901639344,139.25245901639343,686,2.467654799550378,5.247813411078718,0.2029919227644219
sparse_linalg_cg February142024.txt,scipy cg, 2024-02-14 02:27:06.262520, 2024-02-14 03:27:06.275805,223.95901639344265,141.55901639344265,7017,0.00026292377069855085,0.5130397605814451,0.020173723299621298
sparse_linalg_factorized February142024.txt,scipy factorized, 2024-02-14 03:46:51.866792, 2024-02-14 04:46:51.902667,128.30327868852459,45.90327868852458,100634,2.141549965455502e-13,0.03577319792515452,0.0004561408538716992
sparse_linalg_spsolve February152024.txt,scipy spsolve, 2024-02-15 15:27:42.678803, 2024-02-15 16:27:42.690759,128.0049180327869,45.604918032786884,97781,2.141549965455502e-13,0.03681696853171884,0.00046639856447353663
